variant,action_rate_l2_weight,hf_energy_pct,action_rate_rms,jerk_rms,mean_vx,mean_power_w,fall_rate,push_n_envs,train_total_s,train_iters,infer_ms_mean
noreg,,11.895581826601315,1.00973379611969,1.1702803373336792,1.0307672023773193,7084.51904296875,0.3125,80,367.96512603759766,0,0.01259333333817065
somereg,-0.01,7.974546287795235,0.7170363068580627,0.6769727468490601,1.0669244527816772,5536.90087890625,0.5,80,,0,0.01273688889139319
extremereg,,3.738460864079945,0.04933354631066322,0.07147340476512909,-0.001108085853047669,535.1258544921875,0.4625,80,341.35896372795105,0,0.012999777757916794
noreg_flow,,4.172248065845549,0.970097005367279,0.9829539060592651,1.0307672023773193,7084.51904296875,0.2375,80,367.96512603759766,0,5.56193622220639
noreg_lp,,3.321546397171746,0.8881681561470032,0.8490204811096191,1.0307672023773193,7084.51904296875,0.3375,80,367.96512603759766,0,0.0692397777735702
somereg_lp,-0.01,4.924245105834228,0.6707444190979004,0.5255336165428162,1.0669244527816772,5536.90087890625,0.5625,80,,0,0.06486155556154295
noreg_flow_lp,,1.234844826710838,0.9147765040397644,0.8407637476921082,1.0307672023773193,7084.51904296875,0.375,80,367.96512603759766,0,5.603317777794372
somereg_flow,,6.459001874522024,0.7226992249488831,0.6473562121391296,1.0669244527816772,5536.90087890625,0.0375,80,,0,6.007868888935061
extremereg_flow,,6.348793712581982,0.07686788588762283,0.12397778779268265,-0.001108085853047669,535.1258544921875,1.0,80,341.35896372795105,0,5.739795999979833
